Company,Date,Open,High,Low,Close,Adj Close,Volume,Yesterday Change,% Yesterday Change,Average 5-Day Change,% 5-Day Change,Average 10-Day Change,% 10-Day Change,EOD High
AAPL,6/17/2019,192.899994,194.960007,192.169998,193.889999,191.603317,14669100,0.990005,0.005106014,0.3320036,0.001679415,0.0300048,0.000151535,1
AAPL,6/18/2019,196.050003,200.289993,195.210007,198.449997,196.109528,26551000,0.990005,0.005106014,0.3320036,0.001679415,0.0300048,0.000151535,1
AAPL,6/19/2019,199.679993,199.880005,197.309998,197.869995,195.536377,21124200,2.399994,0.012093696,0.3320036,0.001679415,0.0300048,0.000151535,0
AAPL,6/20/2019,200.369995,200.610001,198.029999,199.460007,197.10762,21514000,-1.809998,-0.00914741,0.3320036,0.001679415,0.0300048,0.000151535,0
AAPL,6/21/2019,198.800003,200.850006,198.149994,198.779999,196.435623,47800600,-0.909988,-0.004562258,0.3320036,0.001679415,0.0300048,0.000151535,0
AAPL,6/24/2019,198.539993,200.160004,198.169998,198.580002,196.237991,18220400,-0.020004,-0.000100634,0.3320036,0.001679415,0.0300048,0.000151535,1
AAPL,6/25/2019,198.429993,199.259995,195.289993,195.570007,193.263504,21070300,0.040009,0.000201475,0.1300018,0.000654499,0.0300048,0.000151535,0
AAPL,6/26/2019,197.770004,200.990005,197.350006,199.800003,197.443619,26067500,-2.859986,-0.014623848,-0.0599974,-0.000302938,0.0300048,0.000151535,1
AAPL,6/27/2019,200.289993,201.570007,199.570007,199.740005,197.384323,20899700,2.029999,0.010160155,-1.1119934,-0.005603732,0.0300048,0.000151535,0
AAPL,6/28/2019,198.679993,199.5,197.050003,197.919998,195.58577,31110600,-0.549988,-0.00275352,-0.343994,-0.00173302,0.0300048,0.000151535,0
AAPL,7/1/2019,203.169998,204.490005,200.649994,201.550003,199.172989,27316700,-0.759995,-0.00383991,-0.271994,-0.001371477,0.0300048,0.000151535,0
AAPL,7/2/2019,201.410004,203.130005,201.360001,202.729996,200.33905,16935200,-1.619995,-0.008037683,-0.4199922,-0.002111405,-0.1449952,-0.000729455,1
AAPL,7/3/2019,203.279999,204.440002,202.690002,204.410004,201.999237,11362000,1.319992,0.006511084,-0.751993,-0.003753434,-0.4059952,-0.002038128,1
AAPL,7/5/2019,203.350006,205.080002,202.899994,204.229996,201.82135,17265500,1.130005,0.00552813,0.0840026,0.000417363,-0.5139954,-0.002571854,1
AAPL,7/8/2019,200.809998,201.399994,198.410004,200.020004,197.661011,25338600,0.87999,0.004308819,-0.0959962,-0.000474834,-0.2199951,-0.001098158,0
AAPL,7/9/2019,199.199997,201.509995,198.809998,201.240005,198.866638,20578000,-0.789994,-0.003949575,0.1899994,0.000937861,-0.0409973,-0.000204521,1
AAPL,7/10/2019,201.850006,203.729996,201.559998,203.229996,200.83316,17897100,2.040008,0.010137189,0.1839996,0.000908523,-0.1179963,-0.000587862,1
AAPL,7/11/2019,203.309998,204.389999,201.710007,201.75,199.370621,20191800,1.37999,0.006790287,0.9160002,0.004520645,0.0820036,0.000406992,0
AAPL,7/12/2019,202.449997,204,202.199997,203.300003,200.902344,17595200,-1.559998,-0.007732332,0.9279998,0.004591922,0.5060012,0.002508906,1
AAPL,7/15/2019,204.089996,205.869995,204,205.210007,202.78981,16947400,0.850006,0.004181043,0.3899992,0.001931569,0.1470015,0.000727593,1
AAPL,7/16/2019,204.589996,206.110001,203.5,204.5,202.088181,16866800,1.120011,0.005457877,0.3840024,0.001892141,0.2870009,0.001415422,0
AAPL,7/17/2019,204.050003,205.089996,203.270004,203.350006,200.951736,14107500,-0.089996,-0.000440078,0.7660034,0.003762333,0.4750015,0.002339194,0
AAPL,7/18/2019,204,205.880005,203.699997,205.660004,203.234497,18582200,-0.699997,-0.003442326,0.3400026,0.001669773,0.6280014,0.003091714,1
AAPL,7/19/2019,205.789993,206.5,202.360001,202.589996,200.200699,20929300,1.660004,0.008071594,-0.0759948,-0.000371787,0.4260025,0.002095964,0
AAPL,7/22/2019,203.649994,207.229996,203.610001,207.220001,204.776108,22277900,-3.199997,-0.015795434,0.5680056,0.00278077,0.4790024,0.00235863,1
AAPL,7/23/2019,208.460007,208.910004,207.289993,208.839996,206.376984,18355200,3.570007,0.0172281,-0.241995,-0.001182401,0.0710037,0.00034839,1
AAPL,7/24/2019,207.669998,209.149994,207.169998,208.669998,206.209015,14991600,0.379989,0.001819522,0.2480042,0.001206645,0.5070038,0.002478448,1
AAPL,7/25/2019,208.889999,209.240005,206.729996,207.020004,204.578476,13909600,1,0.004792256,0.3420012,0.001655411,0.3410019,0.00166254,0
AAPL,7/26/2019,207.479996,209.729996,207.139999,207.740005,205.289978,17618900,-1.869995,-0.009032919,0.6820006,0.003296791,0.3030029,0.001473491,1
AAPL,7/29/2019,208.460007,210.639999,208.440002,209.679993,207.207077,21673400,0.260009,0.001251608,-0.0239992,-0.000115437,0.2720032,0.001319891,1
AAPL,7/30/2019,208.759995,210.160004,207.309998,208.779999,206.317688,33935700,1.219986,0.005818323,0.668002,0.003205538,0.2130035,0.001031359,1
AAPL,7/31/2019,216.419998,221.369995,211.300003,213.039993,210.527466,69281400,0.020004,9.58138E-05,0.1979978,0.000950186,0.223001,0.001077534,0
AAPL,8/1/2019,213.899994,218.029999,206.740005,208.429993,205.971817,54017900,-3.380005,-0.015865589,0.1260008,0.000602149,0.234001,0.001125416,0
AAPL,8/2/2019,205.529999,206.429993,201.630005,204.020004,201.613846,40862100,-5.470001,-0.026243829,-0.7500002,-0.003579372,-0.0339998,-0.000163303,0
AAPL,8/5/2019,197.990005,198.649994,192.580002,193.339996,191.059784,52393000,-1.509995,-0.007401211,-1.4700014,-0.007040574,-0.7470003,-0.003585418,0
AAPL,8/6/2019,196.309998,198.070007,194.039993,197,194.67662,35824800,-4.650009,-0.024050942,-1.8240022,-0.008874973,-0.5780001,-0.002792865,1
AAPL,8/7/2019,195.410004,199.559998,193.820007,199.039993,196.692566,33364400,0.690002,0.003502548,-2.9980012,-0.014756412,-1.4000017,-0.006803655,1
AAPL,8/8/2019,200.199997,203.529999,199.389999,203.429993,201.030792,27009500,3.629989,0.018237486,-2.8640016,-0.01429385,-1.3690004,-0.006684279,1
AAPL,8/9/2019,201.300003,202.759995,199.289993,200.990005,199.374222,24619700,3.229996,0.015877678,-1.4620028,-0.007333261,-1.1060015,-0.005409643,0
AAPL,8/12/2019,199.619995,202.050003,199.149994,200.479996,198.868317,22474900,-0.309998,-0.001542355,0.2779966,0.001398655,-0.5960024,-0.002924806,1
AAPL,8/13/2019,201.020004,212.139999,200.479996,208.970001,207.290085,47218500,0.860001,0.00428971,0.517996,0.002587548,-0.6530031,-0.003219063,1
AAPL,8/14/2019,203.160004,206.440002,202.589996,202.75,201.120071,36547400,7.949997,0.038043724,1.619998,0.007996752,-0.6890016,-0.003396205,0
AAPL,8/15/2019,203.460007,205.139999,199.669998,201.740005,200.118195,27227400,-0.410004,-0.002022215,3.071997,0.015108876,0.1039977,0.000515235,0
AAPL,8/16/2019,204.279999,207.160004,203.839996,206.5,204.83992,27620400,-1.720002,-0.008525835,2.2639984,0.011153471,0.4009978,0.001993269,1
AAPL,8/19/2019,210.619995,212.729996,210.029999,210.350006,208.658981,24413600,2.220001,0.01075061,1.2739988,0.006242399,0.7759977,0.003852558,0
AAPL,8/20/2019,210.880005,213.350006,210.320007,210.360001,208.6689,26884300,-0.269989,-0.001283523,1.7799986,0.00863817,1.1489973,0.005656602,0
AAPL,8/21/2019,212.990005,213.649994,211.600006,212.639999,210.930573,21535400,-0.520004,-0.002471972,1.5540006,0.007531262,1.5869993,0.007761868,0
AAPL,8/22/2019,213.190002,214.440002,210.75,212.460007,210.752029,22253700,-0.350006,-0.001646003,-0.1399996,-0.000672048,1.4659987,0.007122688,0
AAPL,8/23/2019,209.429993,212.050003,201,202.639999,201.010971,46818000,-0.729995,-0.003435917,-0.128,-0.000608186,1.0679992,0.005166305,0
AAPL,8/26/2019,205.860001,207.190002,205.059998,206.490005,204.830002,26043600,-6.789994,-0.033507669,0.0700014,0.000333833,0.6720001,0.003248119,1
AAPL,8/27/2019,207.860001,208.550003,203.529999,204.160004,202.518738,25873300,0.630004,0.003051015,-1.7319976,-0.008290322,0.0240005,0.000115671,0
AAPL,8/28/2019,204.100006,205.720001,203.320007,205.529999,203.877731,15938800,-3.699997,-0.018123026,-1.551999,-0.007473102,0.0010008,4.83457E-06,1
AAPL,8/29/2019,208.5,209.320007,206.660004,209.009995,207.329742,20990500,1.429993,0.006957588,-2.1879976,-0.010608164,-1.1639986,-0.005615396,1
AAPL,8/30/2019,210.160004,210.449997,207.199997,208.740005,207.06192,21143400,0.509995,0.002440051,-1.8319978,-0.008911969,-0.9799989,-0.004711216,0
AAPL,9/3/2019,206.429993,206.979996,204.220001,205.699997,204.046341,20023000,-1.419999,-0.006802716,-1.5839998,-0.007660092,-0.7569992,-0.00363526,0
AAPL,9/4/2019,208.389999,209.479996,207.320007,209.190002,207.508316,19188100,-0.729996,-0.003548838,-0.5100008,-0.002468208,-1.1209992,-0.005395307,1
AAPL,9/5/2019,212,213.970001,211.509995,213.279999,211.565414,23913700,0.800003,0.003824289,-0.7820008,-0.003766246,-1.1669999,-0.005619871,1
AAPL,9/6/2019,214.050003,214.419998,212.509995,213.259995,211.545578,19362300,1.279999,0.006001496,0.1179992,0.000564093,-1.0349992,-0.004982665,0
AAPL,9/9/2019,214.839996,216.440002,211.070007,214.169998,212.448273,27309400,-0.790008,-0.003704436,0.0880004,0.000418982,-0.8719987,-0.004196336,0
AAPL,9/10/2019,213.860001,216.779999,211.710007,216.699997,214.957916,31777900,-0.669998,-0.003128347,-0.1720002,-0.000814703,-0.878,-0.004201902,1
AAPL,9/11/2019,218.070007,223.710007,217.729996,223.589996,221.792542,44289600,2.839996,0.013105658,-0.022,-0.000103131,-0.2660004,-0.001266825,1
AAPL,9/12/2019,224.800003,226.419998,222.860001,223.089996,221.296555,32226700,5.519989,0.024687996,0.6919984,0.003200733,-0.0450012,-0.000212353,0
AAPL,9/13/2019,220,220.789993,217.020004,218.75,216.991455,39763300,-1.710007,-0.007665099,1.6359956,0.007498994,0.8769974,0.00410439,0
AAPL,9/16/2019,217.729996,220.130005,217.559998,219.899994,218.132202,21158100,-1.25,-0.005714286,1.0379944,0.00473408,0.5629974,0.002622899,1
AAPL,9/17/2019,219.960007,220.820007,219.119995,220.699997,218.925781,18318700,2.169998,0.009868113,0.945996,0.004292061,0.3869979,0.001793625,1
AAPL,9/18/2019,221.059998,222.850006,219.440002,222.770004,220.979141,25340000,0.73999,0.003352923,1.5139952,0.006844277,0.7459976,0.003433616,1
AAPL,9/19/2019,222.009995,223.759995,220.369995,220.960007,219.183701,22060600,1.710006,0.007676105,1.093994,0.004949259,0.8929962,0.004084677,0
AAPL,9/20/2019,221.380005,222.559998,217.470001,217.729996,215.97963,55413100,-1.049988,-0.004751937,0.3319974,0.001504865,0.9839965,0.004485168,0
AAPL,9/23/2019,218.949997,219.839996,217.649994,218.720001,216.961685,19165500,-3.650009,-0.016763924,0.4640012,0.002105154,0.7509978,0.003416173,0
AAPL,9/24/2019,221.029999,222.490005,217.190002,217.679993,215.930038,31190800,-0.229996,-0.001051554,-0.0160006,-7.26719E-05,0.4649977,0.002110834,0
AAPL,9/25/2019,218.550003,221.5,217.139999,221.029999,219.253113,21903400,-3.350006,-0.015389591,-0.4959994,-0.002258937,0.5089979,0.002309543,1
AAPL,9/26/2019,220,220.940002,218.830002,219.889999,218.122284,18833500,2.479996,0.011220178,-1.3139986,-0.005993863,-0.1100023,-0.000499708,0
AAPL,9/27/2019,220.539993,220.960007,217.279999,218.820007,217.060898,25352000,-0.110001,-0.000500255,-1.1600006,-0.005296565,-0.4140016,-0.001883426,0
AAPL,9/30/2019,220.899994,224.580002,220.789993,223.970001,222.169479,25977400,-1.719986,-0.007860278,-0.9720032,-0.004433755,-0.254001,-0.001155495,1
AAPL,10/1/2019,225.070007,228.220001,224.199997,224.589996,222.7845,34805800,3.070007,0.013707224,-0.5859986,-0.002660268,-0.3009996,-0.00136677,0
AAPL,10/2/2019,223.059998,223.580002,217.929993,218.960007,217.199768,34612300,-0.480011,-0.002137277,0.074002,0.000333854,-0.2109987,-0.000956407,0
AAPL,10/3/2019,218.429993,220.960007,215.130005,220.820007,219.0448,28606500,-4.099991,-0.01872484,0.648001,0.002928871,-0.3329988,-0.001512016,1
AAPL,10/4/2019,225.639999,227.490005,223.889999,227.009995,225.185043,34619700,2.390014,0.010823358,-0.6679964,-0.003016711,-0.9139985,-0.004150369,1
AAPL,10/7/2019,226.270004,229.929993,225.839996,227.059998,225.234634,30576500,1.369996,0.006034959,-0.1679934,-0.000753097,-0.5699983,-0.00257744,1
AAPL,10/8/2019,225.820007,228.059998,224.330002,224.399994,222.596024,27955000,0.789994,0.00347923,0.450003,0.002011744,-0.0679978,-0.00030632,0
AAPL,10/9/2019,227.029999,227.789993,225.639999,227.029999,225.204895,18692600,-1.420013,-0.006328044,-0.0059996,-2.68258E-05,0.0340012,0.000152708,0
AAPL,10/10/2019,227.929993,230.440002,227.300003,230.089996,228.24028,28253400,0,0,-0.194,-0.000861212,0.2270005,0.001016777,1
AAPL,10/11/2019,232.949997,237.639999,232.309998,236.210007,234.311081,41698900,2.160003,0.009387644,0.6259982,0.002756269,-0.0209991,-9.3631E-05,1
AAPL,10/14/2019,234.899994,238.130005,234.669998,235.869995,233.973816,24106900,3.26001,0.01380132,0.579996,0.002533198,0.2060013,0.000911454,1
AAPL,10/15/2019,236.389999,237.649994,234.880005,235.320007,233.428253,21840000,0.970001,0.004112439,0.9579988,0.004152214,0.7040009,0.003098541,0
AAPL,10/16/2019,233.369995,235.240005,233.199997,234.369995,232.48587,18475800,-1.069992,-0.004546966,0.9940002,0.004267854,0.4940003,0.002164039,1
